,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9175,"(17, 17791833)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.384776310850235,8,3,4
9176,"(17, 17791834)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-4,10.295630140987,4,3,2
9177,"(17, 17791834)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.384776310850235,8,3,4
9178,"(17, 17791835)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-4,10.295630140987,4,3,2
9179,"(17, 17791835)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,17.52141546793523,7,3,4
9180,"(17, 17791836)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-4,10.295630140987,4,3,2
9181,"(17, 17791836)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,18.384776310850235,8,3,4
9182,"(17, 17791837)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-2,10.3440804327886,4,3,2
9183,"(17, 17791837)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-4,17.4928556845359,7,3,4
9184,"(17, 17791838)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-2,10.3440804327886,4,3,2
9185,"(17, 17791838)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-3,18.35755975068582,8,3,4
9186,"(17, 17791839)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-1,10.3440804327886,4,3,2
9187,"(17, 17791839)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-2,17.4928556845359,7,3,4
9188,"(17, 17791840)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,10.3440804327886,4,4,2
9189,"(17, 17791840)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-1,17.4928556845359,7,3,4
9190,"(17, 17791841)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,10.3440804327886,4,4,2
9191,"(17, 17791841)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,0,18.35755975068582,8,4,4
9192,"(17, 17791842)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,1,10.3440804327886,4,4,2
9193,"(17, 17791842)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,0,17.4928556845359,7,4,4
9194,"(17, 17791843)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,2,10.3440804327886,4,4,2
9195,"(17, 17791843)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,1,18.35755975068582,8,4,4
9196,"(17, 17791844)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,1,10.3440804327886,4,4,2
9197,"(17, 17791844)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,1,17.4928556845359,7,4,4
9198,"(17, 17791845)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,1,10.3440804327886,4,4,2
9199,"(17, 17791845)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,2,17.52141546793523,7,4,4
9200,"(17, 17791846)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,1,10.3440804327886,4,4,2
9201,"(17, 17791846)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,2,18.384776310850235,8,4,4
9202,"(17, 17791847)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,1,10.295630140987,4,4,2
9203,"(17, 17791847)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,2,17.52141546793523,7,4,4
9204,"(17, 17791848)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,0,10.295630140987,4,4,2
9205,"(17, 17791848)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,1,18.384776310850235,8,4,4
9206,"(17, 17791849)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,0,10.295630140987,4,4,2
9207,"(17, 17791849)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,1,17.52141546793523,7,4,4
9208,"(17, 17791850)",car_5468,ego car,1,0,0,0,0,1,0,2,-2.0,3.0,5.0,car_5468,0,10.295630140987,4,4,2
9209,"(17, 17791850)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,1,17.52141546793523,7,4,4
9210,"(17, 17791851)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,0,9.433981132056603,4,4,2
9211,"(17, 17791851)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,0,17.916472867168917,7,4,4
9212,"(17, 17791852)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,0,9.433981132056603,4,4,2
9213,"(17, 17791852)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,0,17.029386365926403,7,4,4
9214,"(17, 17791853)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9215,"(17, 17791853)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-1,17.916472867168917,7,3,4
